area,areaid,dailydose1,dailydose2,dailydose3,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totaldose3,totalvaccinations
ΜΥΚΟΝΟΥ,1208,30,60,0,6,90,2021-05-07 00:00:00,1522,1522,990,0,2512
ΝΑΞΟΥ,1209,85,143,0,15,228,2021-05-07 00:00:00,4422,4422,2080,0,6502
ΝΗΣΩΝ,906,733,764,0,378,1497,2021-05-07 00:00:00,19390,19391,10396,0,29787
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,3938,2292,0,-285,6180,2021-05-07 00:00:00,96101,96101,29068,0,125024
ΞΑΝΘΗΣ,105,533,517,0,-76,1001,2021-05-07 00:00:00,17570,17570,8630,0,26051
ΠΑΡΟΥ,1210,14,82,0,-11,96,2021-05-07 00:00:00,2540,2540,1510,0,4050
ΠΕΙΡΑΙΩΣ,908,709,1647,0,-279,2266,2021-05-07 00:00:00,79587,79587,41071,0,120383
ΠΕΛΛΑΣ,204,382,1178,0,-9,1464,2021-05-07 00:00:00,31952,31953,18202,0,49880
ΠΙΕΡΙΑΣ,205,396,754,0,-28,1101,2021-05-07 00:00:00,24848,24848,13545,0,38244
ΠΡΕΒΕΖΑΣ,404,294,398,0,-71,642,2021-05-07 00:00:00,14804,14804,4532,0,19186
ΡΕΘΥΜΝΟΥ,1303,236,547,0,-72,733,2021-05-07 00:00:00,18035,18035,9157,0,27042
ΡΟΔΟΠΗΣ,106,481,508,0,5,939,2021-05-07 00:00:00,17805,17805,7964,0,25624
ΡΟΔΟΥ,1211,491,349,0,-61,785,2021-05-07 00:00:00,18029,18029,8200,0,26079
ΣΑΜΟΥ,1104,129,139,0,8,268,2021-05-07 00:00:00,5707,5707,2627,0,8334
ΣΕΡΡΩΝ,206,664,834,0,-87,1448,2021-05-07 00:00:00,29869,29869,12210,0,41929
ΣΠΟΡΑΔΩΝ,504,122,154,0,-29,276,2021-05-07 00:00:00,4202,4202,1798,0,6000
ΣΥΡΟΥ,1212,150,119,0,5,214,2021-05-07 00:00:00,4791,4791,2305,0,6951
ΤΗΝΟΥ,1213,4,68,0,-6,72,2021-05-07 00:00:00,2039,2039,1266,0,3305
ΤΡΙΚΑΛΩΝ,505,644,584,0,-61,1178,2021-05-07 00:00:00,25951,25951,12217,0,38023
ΦΘΙΩΤΙΔΑΣ,804,791,737,0,-78,1478,2021-05-07 00:00:00,29281,29281,12998,0,42129
ΦΛΩΡΙΝΑΣ,304,144,504,0,-19,613,2021-05-07 00:00:00,12537,12537,7127,0,19569
ΦΩΚΙΔΑΣ,805,252,226,0,21,438,2021-05-07 00:00:00,6693,6693,3444,0,10007
ΧΑΛΚΙΔΙΚΗΣ,207,552,649,0,-31,1158,2021-05-07 00:00:00,22472,22472,10692,0,33022
ΧΑΝΙΩΝ,1304,847,962,0,-8,1760,2021-05-07 00:00:00,36773,36773,19102,0,55726
ΧΙΟΥ,1105,276,185,0,-5,411,2021-05-07 00:00:00,10381,10382,4366,0,14598
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,1219,900,0,-47,2027,2021-05-10 00:00:00,37810,37810,13885,0,51225
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1049,1431,0,146,2430,2021-05-10 00:00:00,66468,66468,28271,0,94490
ΑΝΔΡΟΥ,1201,139,64,0,101,203,2021-05-10 00:00:00,2966,2966,1400,0,4366
ΑΡΓΟΛΙΔΑΣ,1001,502,686,0,14,1093,2021-05-10 00:00:00,22457,22457,11006,0,32983
ΑΡΚΑΔΙΑΣ,1002,495,436,0,79,880,2021-05-10 00:00:00,18865,18865,8152,0,26768
ΑΡΤΑΣ,401,301,307,0,-19,558,2021-05-10 00:00:00,12862,12862,8076,0,20698
ΑΧΑΪΑΣ,702,2152,1281,0,40,3235,2021-05-10 00:00:00,64230,64230,29492,0,92769
ΒΟΙΩΤΙΑΣ,801,569,821,0,-16,1291,2021-05-10 00:00:00,28741,28741,12718,0,40975
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,6205,3742,0,105,9756,2021-05-10 00:00:00,257875,257876,140863,0,397766
ΓΡΕΒΕΝΩΝ,301,113,316,0,39,379,2021-05-10 00:00:00,8292,8292,5293,0,13345
ΔΡΑΜΑΣ,101,433,482,0,45,865,2021-05-10 00:00:00,18510,18510,10370,0,28635
